replicate	genotype	treatment	flat	pot	colony
Bac031	rpm1/rps2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	6.192280519
Bac031	rpm1/rps2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	5.341219532
Bac031	rpm1/rps2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	5.598045865
Bac031	rpm1/rps2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	6.23006908
Bac031	rpm1/rps2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	5.929039084
Bac031	npr1	avrRpt2	flatavrRpt2a1	potavrRpt2a01	5.724919102
Bac031	npr1	avrRpt2	flatavrRpt2a1	potavrRpt2a01	5.701116187
Bac031	npr1	avrRpt2	flatavrRpt2a1	potavrRpt2a03	4.628009089
Bac031	npr1	avrRpt2	flatavrRpt2a1	potavrRpt2a03	4.493310515
Bac031	npr1	avrRpt2	flatavrRpt2a1	potavrRpt2a05	3.628009089
Bac031	npr1	avrRpt2	flatavrRpt2a1	potavrRpt2a05	2.150887834
Bac031	npr1	avrRpt2	flatavrRpt2a2	potavrRpt2a07	4.849857838
Bac031	npr1	avrRpt2	flatavrRpt2a2	potavrRpt2a07	5.172077133
Bac028	_Col	avrRpt2	flatavrRpt2b1	potavrRpt2b02	4.628009089
Bac028	_Col	avrRpt2	flatavrRpt2b1	potavrRpt2b02	4.473107129
Bac028	_Col	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.381336755
Bac028	_Col	avrRpt2	flatavrRpt2b1	potavrRpt2b04	4.548827842
Bac028	_Col	avrRpt2	flatavrRpt2b1	potavrRpt2b06	4.297015869
Bac028	_Col	avrRpt2	flatavrRpt2b1	potavrRpt2b06	4.23006908
Bac028	_Col	avrRpt2	flatavrRpt2b1	potavrRpt2b08	4.462641695
Bac028	_Col	avrRpt2	flatavrRpt2b1	potavrRpt2b08	5.025949097
Bac028	dde2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	4.493310515
Bac028	dde2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	4.675932641
Bac028	dde2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.96380119
Bac028	dde2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.462641695
Bac028	dde2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	4.393925883
Bac028	dde2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	4.995985874
Bac028	dde2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	4.172077133
Bac028	dde2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	4.747484929
Bac028	ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	4.418059562
Bac028	ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	4.605732694
Bac028	ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	4.172077133
Bac028	ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	3.531099076
Bac028	ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	3.247797847
Bac028	ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	3.574133708
Bac028	ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	4.406160339
Bac028	ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	4.763671691
Bac028	pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b01	5.326979093
Bac028	pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b01	5.264831186
Bac028	pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b03	5.23006908
Bac028	pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b03	5.23006908
Bac028	pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b05	5.503070352
Bac028	pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b05	4.96380119
Bac028	pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b07	4.96380119
Bac028	pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b07	5.355007816
Bac028	sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	5.192280519
Bac028	sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	5.355007816
Bac028	sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	5.849857838
Bac028	sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	5.053977821
Bac028	sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	5.368371778
Bac028	sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.150887834
Bac028	sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	5.355007816
Bac028	sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	5.150887834
Bac028	dde2/ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	4.628009089
Bac028	dde2/ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	2.150887834
Bac028	dde2/ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.381336755
Bac028	dde2/ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.929039084
Bac028	dde2/ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	5.281221602
Bac028	dde2/ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	5.565861182
Bac028	dde2/ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	5.483326294
Bac028	dde2/ein2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	5.598045865
Bac028	dde2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.025949097
Bac028	dde2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.297015869
Bac028	dde2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.483326294
Bac028	dde2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.473107129
Bac028	dde2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.503070352
